region,molecular_type,BP_bAC,BP_bIR,BP_bNAC,BP_cAC,BP_cNAC,BP_dSTUT,BTC_bAC,BTC_bIR,BTC_bNAC,BTC_cAC,BTC_cNAC,ChC_cAC,ChC_cNAC,ChC_dNAC,DBC_bAC,DBC_bIR,DBC_bNAC,DBC_cAC,LBC_bAC,LBC_bNAC,LBC_cAC,LBC_cNAC,LBC_cSTUT,LBC_dNAC,MC_bAC,MC_bNAC,MC_cAC,MC_cNAC,MC_dNAC,NBC_bAC,NBC_bNAC,NBC_cAC,NBC_cIR,NBC_cNAC,NBC_dNAC,NGC_bNAC,NGC_cAC,NGC_cNAC,NGC_cSTUT,SBC_bNAC,SBC_cAC,SBC_dNAC,BTC_bSTUT,BTC_dNAC,DBC_bSTUT,DBC_cIR,DBC_cNAC,LBC_dSTUT,LBC_cIR,MC_bIR,MC_bSTUT,MC_cSTUT,NBC_bIR,NBC_bSTUT,NBC_cSTUT,NBC_dSTUT,LBC_bIR,LBC_bSTUT,MC_cIR,DAC_bNAC,DAC_cNAC,DLAC_cNAC,HAC_bNAC,HAC_cIR,HAC_cNAC,NGC-DA_bNAC,NGC-DA_cAC,NGC-DA_cNAC,NGC-DA_cSTUT,NGC-SA_cNAC,SLAC_bNAC,SLAC_cAC,SLAC_cNAC
SSs2/3,approx_lamp5,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0,0.0,0.0175707876569812,0.0138254693049213,0.002283105022831,0.0194434468330112,0.0053695247759174,0.0056179775280898,0.0037453183520599,0.0018726591760299,0.0339102377735593,0.0316271327507282,0.0339102377735593,0.0339102377735593,0.024096116536217,0.0109875023040073,0.0623469141503105,0.0155361353863226,0.0030864197530864,0.0030864197530864,0.0673763009328141,0.0605445628276678,0.0634865664494724,0.0320903094875697,0.0091324200913242,0.0228823559591606,0.0,0.0638091274795394,0.0660922325023705,0.0266680538216118,0.0,0.0,0.0,0.0,0.0,0.0418516998348715,0.0441348048577026,0.0030864197530864,0.0092592592592592,0.0,0.0285407129976418,0.0254542932445554,0.0223678734914689,0.0,0.0187265917602996,0.0037453183520599,0.0037453183520599,0.0,0.0187265917602996,0.0205992509363295,0.0018726591760299,0.0,0.0018726591760299,0.0018726591760299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GU2/3,approx_lamp5,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0,0.0,0.0175707876569812,0.0138254693049213,0.002283105022831,0.0194434468330112,0.0053695247759174,0.0056179775280898,0.0037453183520599,0.0018726591760299,0.0339102377735593,0.0316271327507282,0.0339102377735593,0.0339102377735593,0.024096116536217,0.0109875023040073,0.0623469141503105,0.0155361353863226,0.0030864197530864,0.0030864197530864,0.0673763009328141,0.0605445628276678,0.0634865664494724,0.0320903094875697,0.0091324200913242,0.0228823559591606,0.0,0.0638091274795394,0.0660922325023705,0.0266680538216118,0.0,0.0,0.0,0.0,0.0,0.0418516998348715,0.0441348048577026,0.0030864197530864,0.0092592592592592,0.0,0.0285407129976418,0.0254542932445554,0.0223678734914689,0.0,0.0187265917602996,0.0037453183520599,0.0037453183520599,0.0,0.0187265917602996,0.0205992509363295,0.0018726591760299,0.0,0.0018726591760299,0.0018726591760299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VISC2/3,approx_lamp5,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0,0.0,0.0175707876569812,0.0138254693049213,0.002283105022831,0.0194434468330112,0.0053695247759174,0.0056179775280898,0.0037453183520599,0.0018726591760299,0.0339102377735593,0.0316271327507282,0.0339102377735593,0.0339102377735593,0.024096116536217,0.0109875023040073,0.0623469141503105,0.0155361353863226,0.0030864197530864,0.0030864197530864,0.0673763009328141,0.0605445628276678,0.0634865664494724,0.0320903094875697,0.0091324200913242,0.0228823559591606,0.0,0.0638091274795394,0.0660922325023705,0.0266680538216118,0.0,0.0,0.0,0.0,0.0,0.0418516998348715,0.0441348048577026,0.0030864197530864,0.0092592592592592,0.0,0.0285407129976418,0.0254542932445554,0.0223678734914689,0.0,0.0187265917602996,0.0037453183520599,0.0037453183520599,0.0,0.0187265917602996,0.0205992509363295,0.0018726591760299,0.0,0.0018726591760299,0.0018726591760299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDd2/3,approx_lamp5,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0,0.0,0.0175707876569812,0.0138254693049213,0.002283105022831,0.0194434468330112,0.0053695247759174,0.0056179775280898,0.0037453183520599,0.0018726591760299,0.0339102377735593,0.0316271327507282,0.0339102377735593,0.0339102377735593,0.024096116536217,0.0109875023040073,0.0623469141503105,0.0155361353863226,0.0030864197530864,0.0030864197530864,0.0673763009328141,0.0605445628276678,0.0634865664494724,0.0320903094875697,0.0091324200913242,0.0228823559591606,0.0,0.0638091274795394,0.0660922325023705,0.0266680538216118,0.0,0.0,0.0,0.0,0.0,0.0418516998348715,0.0441348048577026,0.0030864197530864,0.0092592592592592,0.0,0.0285407129976418,0.0254542932445554,0.0223678734914689,0.0,0.0187265917602996,0.0037453183520599,0.0037453183520599,0.0,0.0187265917602996,0.0205992509363295,0.0018726591760299,0.0,0.0018726591760299,0.0018726591760299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDp2/3,approx_lamp5,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0,0.0,0.0175707876569812,0.0138254693049213,0.002283105022831,0.0194434468330112,0.0053695247759174,0.0056179775280898,0.0037453183520599,0.0018726591760299,0.0339102377735593,0.0316271327507282,0.0339102377735593,0.0339102377735593,0.024096116536217,0.0109875023040073,0.0623469141503105,0.0155361353863226,0.0030864197530864,0.0030864197530864,0.0673763009328141,0.0605445628276678,0.0634865664494724,0.0320903094875697,0.0091324200913242,0.0228823559591606,0.0,0.0638091274795394,0.0660922325023705,0.0266680538216118,0.0,0.0,0.0,0.0,0.0,0.0418516998348715,0.0441348048577026,0.0030864197530864,0.0092592592592592,0.0,0.0285407129976418,0.0254542932445554,0.0223678734914689,0.0,0.0187265917602996,0.0037453183520599,0.0037453183520599,0.0,0.0187265917602996,0.0205992509363295,0.0018726591760299,0.0,0.0018726591760299,0.0018726591760299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDpo2/3,approx_lamp5,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0,0.0,0.0175707876569812,0.0138254693049213,0.002283105022831,0.0194434468330112,0.0053695247759174,0.0056179775280898,0.0037453183520599,0.0018726591760299,0.0339102377735593,0.0316271327507282,0.0339102377735593,0.0339102377735593,0.024096116536217,0.0109875023040073,0.0623469141503105,0.0155361353863226,0.0030864197530864,0.0030864197530864,0.0673763009328141,0.0605445628276678,0.0634865664494724,0.0320903094875697,0.0091324200913242,0.0228823559591606,0.0,0.0638091274795394,0.0660922325023705,0.0266680538216118,0.0,0.0,0.0,0.0,0.0,0.0418516998348715,0.0441348048577026,0.0030864197530864,0.0092592592592592,0.0,0.0285407129976418,0.0254542932445554,0.0223678734914689,0.0,0.0187265917602996,0.0037453183520599,0.0037453183520599,0.0,0.0187265917602996,0.0205992509363295,0.0018726591760299,0.0,0.0018726591760299,0.0018726591760299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDv2/3,approx_lamp5,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0,0.0,0.0175707876569812,0.0138254693049213,0.002283105022831,0.0194434468330112,0.0053695247759174,0.0056179775280898,0.0037453183520599,0.0018726591760299,0.0339102377735593,0.0316271327507282,0.0339102377735593,0.0339102377735593,0.024096116536217,0.0109875023040073,0.0623469141503105,0.0155361353863226,0.0030864197530864,0.0030864197530864,0.0673763009328141,0.0605445628276678,0.0634865664494724,0.0320903094875697,0.0091324200913242,0.0228823559591606,0.0,0.0638091274795394,0.0660922325023705,0.0266680538216118,0.0,0.0,0.0,0.0,0.0,0.0418516998348715,0.0441348048577026,0.0030864197530864,0.0092592592592592,0.0,0.0285407129976418,0.0254542932445554,0.0223678734914689,0.0,0.0187265917602996,0.0037453183520599,0.0037453183520599,0.0,0.0187265917602996,0.0205992509363295,0.0018726591760299,0.0,0.0018726591760299,0.0018726591760299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VISal2/3,approx_lamp5,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0,0.0,0.0175707876569812,0.0138254693049213,0.002283105022831,0.0194434468330112,0.0053695247759174,0.0056179775280898,0.0037453183520599,0.0018726591760299,0.0339102377735593,0.0316271327507282,0.0339102377735593,0.0339102377735593,0.024096116536217,0.0109875023040073,0.0623469141503105,0.0155361353863226,0.0030864197530864,0.0030864197530864,0.0673763009328141,0.0605445628276678,0.0634865664494724,0.0320903094875697,0.0091324200913242,0.0228823559591606,0.0,0.0638091274795394,0.0660922325023705,0.0266680538216118,0.0,0.0,0.0,0.0,0.0,0.0418516998348715,0.0441348048577026,0.0030864197530864,0.0092592592592592,0.0,0.0285407129976418,0.0254542932445554,0.0223678734914689,0.0,0.0187265917602996,0.0037453183520599,0.0037453183520599,0.0,0.0187265917602996,0.0205992509363295,0.0018726591760299,0.0,0.0018726591760299,0.0018726591760299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VISam2/3,approx_lamp5,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0,0.0,0.0175707876569812,0.0138254693049213,0.002283105022831,0.0194434468330112,0.0053695247759174,0.0056179775280898,0.0037453183520599,0.0018726591760299,0.0339102377735593,0.0316271327507282,0.0339102377735593,0.0339102377735593,0.024096116536217,0.0109875023040073,0.0623469141503105,0.0155361353863226,0.0030864197530864,0.0030864197530864,0.0673763009328141,0.0605445628276678,0.0634865664494724,0.0320903094875697,0.0091324200913242,0.0228823559591606,0.0,0.0638091274795394,0.0660922325023705,0.0266680538216118,0.0,0.0,0.0,0.0,0.0,0.0418516998348715,0.0441348048577026,0.0030864197530864,0.0092592592592592,0.0,0.0285407129976418,0.0254542932445554,0.0223678734914689,0.0,0.0187265917602996,0.0037453183520599,0.0037453183520599,0.0,0.0187265917602996,0.0205992509363295,0.0018726591760299,0.0,0.0018726591760299,0.0018726591760299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VISl2/3,approx_lamp5,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0,0.0,0.0175707876569812,0.0138254693049213,0.002283105022831,0.0194434468330112,0.0053695247759174,0.0056179775280898,0.0037453183520599,0.0018726591760299,0.0339102377735593,0.0316271327507282,0.0339102377735593,0.0339102377735593,0.024096116536217,0.0109875023040073,0.0623469141503105,0.0155361353863226,0.0030864197530864,0.0030864197530864,0.0673763009328141,0.0605445628276678,0.0634865664494724,0.0320903094875697,0.0091324200913242,0.0228823559591606,0.0,0.0638091274795394,0.0660922325023705,0.0266680538216118,0.0,0.0,0.0,0.0,0.0,0.0418516998348715,0.0441348048577026,0.0030864197530864,0.0092592592592592,0.0,0.0285407129976418,0.0254542932445554,0.0223678734914689,0.0,0.0187265917602996,0.0037453183520599,0.0037453183520599,0.0,0.0187265917602996,0.0205992509363295,0.0018726591760299,0.0,0.0018726591760299,0.0018726591760299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VISp2/3,approx_lamp5,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0,0.0,0.0175707876569812,0.0138254693049213,0.002283105022831,0.0194434468330112,0.0053695247759174,0.0056179775280898,0.0037453183520599,0.0018726591760299,0.0339102377735593,0.0316271327507282,0.0339102377735593,0.0339102377735593,0.024096116536217,0.0109875023040073,0.0623469141503105,0.0155361353863226,0.0030864197530864,0.0030864197530864,0.0673763009328141,0.0605445628276678,0.0634865664494724,0.0320903094875697,0.0091324200913242,0.0228823559591606,0.0,0.0638091274795394,0.0660922325023705,0.0266680538216118,0.0,0.0,0.0,0.0,0.0,0.0418516998348715,0.0441348048577026,0.0030864197530864,0.0092592592592592,0.0,0.0285407129976418,0.0254542932445554,0.0223678734914689,0.0,0.0187265917602996,0.0037453183520599,0.0037453183520599,0.0,0.0187265917602996,0.0205992509363295,0.0018726591760299,0.0,0.0018726591760299,0.0018726591760299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VISpl2/3,approx_lamp5,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0,0.0,0.0175707876569812,0.0138254693049213,0.002283105022831,0.0194434468330112,0.0053695247759174,0.0056179775280898,0.0037453183520599,0.0018726591760299,0.0339102377735593,0.0316271327507282,0.0339102377735593,0.0339102377735593,0.024096116536217,0.0109875023040073,0.0623469141503105,0.0155361353863226,0.0030864197530864,0.0030864197530864,0.0673763009328141,0.0605445628276678,0.0634865664494724,0.0320903094875697,0.0091324200913242,0.0228823559591606,0.0,0.0638091274795394,0.0660922325023705,0.0266680538216118,0.0,0.0,0.0,0.0,0.0,0.0418516998348715,0.0441348048577026,0.0030864197530864,0.0092592592592592,0.0,0.0285407129976418,0.0254542932445554,0.0223678734914689,0.0,0.0187265917602996,0.0037453183520599,0.0037453183520599,0.0,0.0187265917602996,0.0205992509363295,0.0018726591760299,0.0,0.0018726591760299,0.0018726591760299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VISpm2/3,approx_lamp5,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0049590789291163,0.0,0.0,0.0175707876569812,0.0138254693049213,0.002283105022831,0.0194434468330112,0.0053695247759174,0.0056179775280898,0.0037453183520599,0.0018726591760299,0.0339102377735593,0.0316271327507282,0.0339102377735593,0.0339102377735593,0.024096116536217,0.0109875023040073,0.0623469141503105,0.0155361353863226,0.0030864197530864,0.0030864197530864,0.0673763009328141,0.0605445628276678,0.0634865664494724,0.0320903094875697,0.0091324200913242,0.0228823559591606,0.0,0.0638091274795394,0.0660922325023705,0.0266680538216118,0.0,0.0,0.0,0.0,0.0,0.0418516998348715,0.0441348048577026,0.0030864197530864,0.0092592592592592,0.0,0.0285407129976418,0.0254542932445554,0.0223678734914689,0.0,0.0187265917602996,0.0037453183520599,0.0037453183520599,0.0,0.0187265917602996,0.0205992509363295,0.0018726591760299,0.0,0.0018726591760299,0.0018726591760299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
